accx,accy,accz,Activity,Subject
0.192949,0.787715,0.576518,LAYING,1
0.193131,0.7899209,0.5737839,LAYING,1
0.1905383,0.789643,0.576127,LAYING,1
0.1876957,0.7893922,0.5761146,LAYING,1
0.1849301,0.7899771,0.5715501,LAYING,1
0.1833874,0.7901533,0.5716981,LAYING,1
0.1843661,0.79037,0.570041,LAYING,1
0.1858179,0.7893385,0.571643,LAYING,1
0.1867552,0.7883988,0.5749781,LAYING,1
0.1870933,0.7889008,0.57678,LAYING,1
0.1882572,0.7878471,0.5784749,LAYING,1
0.188689,0.7863822,0.5768564,LAYING,1
0.1869263,0.7865961,0.577465,LAYING,1
0.1872954,0.7870379,0.5746317,LAYING,1
0.1880017,0.7870091,0.5703589,LAYING,1
0.186755,0.7873153,0.5736048,LAYING,1
0.1860066,0.7881131,0.5740911,LAYING,1
0.1851879,0.78787,0.5722629,LAYING,1
0.1859495,0.7871662,0.5721616,LAYING,1
0.1868309,0.7860579,0.5723391,LAYING,1
0.1855988,0.7853895,0.5743612,LAYING,1
0.1864778,0.7866908,0.5753124,LAYING,1
0.1886141,0.7855855,0.5757516,LAYING,1
0.1907918,0.782943,0.5774678,LAYING,1
0.1925035,0.7826088,0.5782852,LAYING,1
0.1905747,0.785736,0.5717934,LAYING,1
0.1895908,0.7906784,0.5639359,LAYING,1
0.1900116,0.7885454,0.5697609,LAYING,1
0.1865631,0.7856331,0.5753973,LAYING,1
0.1835608,0.7887657,0.5716331,LAYING,1
0.1844653,0.7883904,0.5743303,LAYING,1
0.1853733,0.78846,0.5783337,LAYING,1
0.1853355,0.7898432,0.5758955,LAYING,1
0.1889726,0.7881132,0.5759538,LAYING,1
0.1934659,0.7887527,0.5771856,LAYING,1
0.1918795,0.7874099,0.5769121,LAYING,1
0.190479,0.7846432,0.5779081,LAYING,1
0.1911628,0.7849802,0.5769945,LAYING,1
0.1880834,0.7842031,0.574785,LAYING,1
0.1865362,0.7840358,0.574876,LAYING,1
0.187919,0.7846345,0.5749337,LAYING,1
0.1869982,0.7864046,0.5740257,LAYING,1
0.1846181,0.7895709,0.5728755,LAYING,1
0.1826889,0.7890093,0.5713001,LAYING,1
0.1829369,0.7889969,0.5710069,LAYING,1
0.1846615,0.7916531,0.5711605,LAYING,1
0.1866504,0.7918045,0.568593,LAYING,1
0.1899817,0.7897581,0.5666982,LAYING,1
0.190591,0.7883138,0.5689741,LAYING,1
0.189404,0.7899607,0.5702602,LAYING,1
0.190531,0.7920374,0.5705496,LAYING,1
0.1882188,0.7925206,0.5716587,LAYING,1
0.184564,0.7932501,0.5703352,LAYING,1
0.1848119,0.7922086,0.5711848,LAYING,1
0.1854591,0.7911259,0.5743497,LAYING,1
0.1861581,0.7918261,0.5760271,LAYING,1
0.1845466,0.7919078,0.5766149,LAYING,1
0.1824246,0.7922866,0.5724087,LAYING,1
0.1853706,0.7917677,0.5699322,LAYING,1
0.1897178,0.7879218,0.5741969,LAYING,1
0.1925916,0.7852433,0.5777594,LAYING,1
0.1910119,0.7886498,0.5779715,LAYING,1
0.187156,0.791375,0.5747152,LAYING,1
0.1875914,0.7873108,0.5726545,LAYING,1
0.1885324,0.7847369,0.5737446,LAYING,1
0.1889116,0.7864455,0.5737621,LAYING,1
0.1893159,0.7864038,0.5733927,LAYING,1
0.1884286,0.7859333,0.5726153,LAYING,1
0.1892415,0.7875085,0.5720428,LAYING,1
0.1899462,0.789263,0.5721597,LAYING,1
0.1900181,0.7891802,0.5722391,LAYING,1
0.1898275,0.7879568,0.5720074,LAYING,1
0.1884193,0.7886219,0.5702199,LAYING,1
0.1897342,0.7895955,0.5697519,LAYING,1
0.1909962,0.7885286,0.5728335,LAYING,1
0.1895701,0.7888971,0.5761424,LAYING,1
0.1885201,0.7902336,0.5745796,LAYING,1
0.1870854,0.7899863,0.5722243,LAYING,1
0.1872973,0.7892448,0.5740361,LAYING,1
0.1889485,0.7871509,0.5727872,LAYING,1
0.1888711,0.7870312,0.569844,LAYING,1
0.1889412,0.7897525,0.5684102,LAYING,1
0.1889354,0.7888214,0.5656421,LAYING,1
0.1889091,0.7864733,0.5663757,LAYING,1
0.1899619,0.7861493,0.5674831,LAYING,1
0.1904469,0.7869156,0.5660355,LAYING,1
0.1903714,0.7889162,0.5668444,LAYING,1
0.1899964,0.7892638,0.567575,LAYING,1
0.1891749,0.7885895,0.5698977,LAYING,1
0.1878627,0.7886663,0.5735985,LAYING,1
0.1869762,0.7871023,0.5725276,LAYING,1
0.1876612,0.7858469,0.572061,LAYING,1
0.1876541,0.7881362,0.5763472,LAYING,1
0.1872359,0.7912062,0.5790564,LAYING,1
0.1877015,0.7906453,0.5787391,LAYING,1
0.1870824,0.7887838,0.5788094,LAYING,1
0.1856432,0.7896033,0.5784341,LAYING,1
0.1846728,0.7899868,0.5766764,LAYING,1
0.1861594,0.7891947,0.576588,LAYING,1
0.1885406,0.7897296,0.5772918,LAYING,1
0.187506,0.7895034,0.5753169,LAYING,1
0.1864065,0.7882935,0.5745902,LAYING,1
0.1858797,0.7868675,0.5772071,LAYING,1
0.1855329,0.784732,0.5783319,LAYING,1
0.1905509,0.784796,0.5772106,LAYING,1
0.1935387,0.788019,0.5740567,LAYING,1
0.1897201,0.791138,0.5683755,LAYING,1
0.1887956,0.7908111,0.5661464,LAYING,1
0.1891466,0.7887383,0.5728698,LAYING,1
0.1874226,0.7887823,0.582267,LAYING,1
0.1875594,0.7867527,0.5851367,LAYING,1
0.1874468,0.7836946,0.5833282,LAYING,1
0.1873739,0.7873696,0.5786645,LAYING,1
0.1877903,0.7909396,0.572948,LAYING,1
0.1872035,0.7901892,0.574241,LAYING,1
0.1880026,0.7915091,0.57661,LAYING,1
0.1893508,0.7904624,0.5738984,LAYING,1
0.1906017,0.7866741,0.5737959,LAYING,1
0.1907529,0.787293,0.5730339,LAYING,1
0.1896776,0.7880219,0.5701693,LAYING,1
0.1903454,0.7870723,0.5719253,LAYING,1
0.189565,0.7876757,0.5754233,LAYING,1
0.1880276,0.7877376,0.5782253,LAYING,1
0.1880904,0.7882064,0.5760936,LAYING,1
0.1861885,0.7893557,0.5716007,LAYING,1
0.1848472,0.7888791,0.5747654,LAYING,1
0.1858123,0.7886923,0.5762908,LAYING,1
0.1871258,0.7890637,0.5746033,LAYING,1
0.1880281,0.7888231,0.5790647,LAYING,1
0.1871804,0.7888641,0.5810405,LAYING,1
0.1864251,0.788948,0.5769449,LAYING,1
0.1868301,0.7888424,0.5737875,LAYING,1
0.1893808,0.7889042,0.5754996,LAYING,1
0.193013,0.7888997,0.5775969,LAYING,1
0.1915359,0.7883337,0.5748542,LAYING,1
0.1879762,0.7862226,0.574493,LAYING,1
0.1871531,0.7842604,0.5754285,LAYING,1
0.1857488,0.7863555,0.5732526,LAYING,1
0.1831696,0.7895783,0.5718182,LAYING,1
0.1803184,0.7890574,0.5709065,LAYING,1
0.1806515,0.7884569,0.5741568,LAYING,1
0.1861293,0.7890645,0.5776112,LAYING,1
0.1904376,0.7878611,0.573399,LAYING,1
0.1910547,0.7871513,0.5698721,LAYING,1
0.1899787,0.7875848,0.5711676,LAYING,1
0.1897616,0.7875152,0.5731301,LAYING,1
0.1899475,0.7873302,0.574832,LAYING,1
0.1882626,0.7865649,0.5754642,LAYING,1
0.1885583,0.7858674,0.5748772,LAYING,1
0.1878553,0.7860246,0.5747953,LAYING,1
0.1830951,0.7864296,0.5747486,LAYING,1
0.1819148,0.7873415,0.5719931,LAYING,1
0.1864314,0.7894612,0.5690635,LAYING,1
0.1915793,0.7910527,0.5697681,LAYING,1
0.1911739,0.7900473,0.5733106,LAYING,1
0.1899167,0.7890325,0.5750567,LAYING,1
0.1928804,0.7884337,0.5698441,LAYING,1
0.1926868,0.7859525,0.5667027,LAYING,1
0.1925523,0.784231,0.5780332,LAYING,1
0.1939557,0.7857183,0.5893528,LAYING,1
0.191714,0.7885878,0.5829323,LAYING,1
0.1890132,0.7894401,0.5731926,LAYING,1
0.1841234,0.7886715,0.5715276,LAYING,1
0.1820642,0.7888887,0.5690997,LAYING,1
0.1869585,0.7889571,0.566626,LAYING,1
0.1883825,0.7888111,0.5648088,LAYING,1
0.1875716,0.7893252,0.5648321,LAYING,1
0.1893052,0.7906008,0.569209,LAYING,1
0.1907563,0.7922635,0.5697491,LAYING,1
0.1904709,0.7906249,0.5691328,LAYING,1
0.188834,0.7849527,0.5689457,LAYING,1
0.1897158,0.7810343,0.5671251,LAYING,1
0.1934773,0.7851225,0.5692342,LAYING,1
0.1960576,0.7916617,0.5716858,LAYING,1
0.1918401,0.7905469,0.5740698,LAYING,1
0.1843273,0.7883719,0.5737691,LAYING,1
0.1846396,0.7897743,0.5705786,LAYING,1
0.1853272,0.7903047,0.573498,LAYING,1
0.1818633,0.7921827,0.5762565,LAYING,1
0.1826605,0.7919165,0.577939,LAYING,1
0.185966,0.7889535,0.579042,LAYING,1
0.1912945,0.7889094,0.5758215,LAYING,1
0.1942465,0.7886919,0.5745407,LAYING,1
0.1923155,0.7893953,0.5717069,LAYING,1
0.1934231,0.7919226,0.5704611,LAYING,1
0.1942505,0.7928625,0.5722527,LAYING,1
0.1939824,0.7910223,0.5690839,LAYING,1
0.1936473,0.7874254,0.5710287,LAYING,1
0.1888985,0.7886141,0.5750566,LAYING,1
0.1844664,0.7900284,0.5744158,LAYING,1
0.1824373,0.7880764,0.5765579,LAYING,1
0.1829534,0.7897542,0.5783225,LAYING,1
0.1842144,0.789262,0.5811023,LAYING,1
0.1834624,0.7873072,0.5812166,LAYING,1
0.1870794,0.7895197,0.5753562,LAYING,1
0.1911454,0.7901038,0.5745941,LAYING,1
0.1895222,0.7901226,0.5750216,LAYING,1
0.1880945,0.7902495,0.5743903,LAYING,1
0.1880209,0.7879023,0.5738431,LAYING,1
0.1873188,0.7852251,0.5713546,LAYING,1
0.1863106,0.7841989,0.5741246,LAYING,1
0.1859937,0.7857334,0.575794,LAYING,1
0.1863163,0.7866547,0.5719267,LAYING,1
0.1869139,0.7859035,0.5689879,LAYING,1
0.1879213,0.7864202,0.5689205,LAYING,1
0.1875066,0.7883752,0.5737829,LAYING,1
0.1872612,0.7911417,0.5762694,LAYING,1
0.1877602,0.7922607,0.5765574,LAYING,1
0.1873353,0.790597,0.5791025,LAYING,1
0.1875385,0.7897667,0.5774836,LAYING,1
0.1877437,0.7904637,0.5764343,LAYING,1
0.1882717,0.7901762,0.5751269,LAYING,1
0.1892882,0.7894028,0.5704916,LAYING,1
0.1885493,0.7898052,0.5719031,LAYING,1
0.1865677,0.7913057,0.5735743,LAYING,1
0.1839103,0.7922157,0.5721805,LAYING,1
0.1829028,0.7909966,0.5741498,LAYING,1
0.1854651,0.7887784,0.5740138,LAYING,1
0.1879783,0.786796,0.5728849,LAYING,1
0.1887644,0.7861088,0.573781,LAYING,1
0.18987,0.78646,0.5713438,LAYING,1
0.1907178,0.7861891,0.5686478,LAYING,1
0.1902065,0.7878102,0.5696075,LAYING,1
0.1897581,0.7896235,0.5725423,LAYING,1
0.1881425,0.7876561,0.5751859,LAYING,1
0.1841842,0.7860771,0.576967,LAYING,1
0.1822805,0.7860504,0.579413,LAYING,1
0.1835125,0.7858249,0.5801689,LAYING,1
0.1838455,0.7853954,0.5812911,LAYING,1
0.1842397,0.7846898,0.5830634,LAYING,1
0.187072,0.7865773,0.576474,LAYING,1
0.1893303,0.789252,0.5695645,LAYING,1
0.1898714,0.7882358,0.5739446,LAYING,1
0.1904844,0.7841904,0.5779743,LAYING,1
0.1902162,0.7804667,0.5759922,LAYING,1
0.1889939,0.7805696,0.5770043,LAYING,1
0.1878534,0.7823222,0.5787078,LAYING,1
0.187117,0.7853208,0.5768023,LAYING,1
0.1875204,0.7905597,0.5748759,LAYING,1
0.1877021,0.7897703,0.572221,LAYING,1
0.1872948,0.7860659,0.5712544,LAYING,1
0.1877623,0.787225,0.5735347,LAYING,1
0.18844,0.786033,0.5747357,LAYING,1
0.1890449,0.7852238,0.5768666,LAYING,1
0.1891079,0.7871704,0.577237,LAYING,1
0.1886238,0.786253,0.5757066,LAYING,1
0.188981,0.7895626,0.5773809,LAYING,1
0.1889884,0.7933739,0.5742357,LAYING,1
0.1890579,0.7906581,0.5698107,LAYING,1
0.190831,0.7877411,0.5738464,LAYING,1
0.1916252,0.7851822,0.5762145,LAYING,1
0.1887888,0.7848329,0.5756556,LAYING,1
0.184594,0.7865527,0.5768557,LAYING,1
0.1839477,0.787617,0.5726044,LAYING,1
0.1859923,0.7896828,0.5704199,LAYING,1
0.1881763,0.7887849,0.5742542,LAYING,1
0.1911841,0.7867515,0.5720133,LAYING,1
0.1909868,0.7875461,0.5733064,LAYING,1
0.1895825,0.7869425,0.5786951,LAYING,1
0.1925595,0.7841929,0.5756673,LAYING,1
0.1934552,0.7826582,0.5748121,LAYING,1
0.1908929,0.7857067,0.5739799,LAYING,1
0.1898617,0.790133,0.5690265,LAYING,1
0.1900359,0.7915622,0.5681524,LAYING,1
0.1906579,0.79209,0.5677729,LAYING,1
0.1898197,0.7912013,0.5685374,LAYING,1
0.1873646,0.7896096,0.5701942,LAYING,1
0.1828684,0.7887642,0.571835,LAYING,1
0.1795794,0.7880106,0.5734102,LAYING,1
0.1849651,0.7866779,0.572421,LAYING,1
0.1898647,0.7810848,0.5739714,LAYING,1
0.1873354,0.7771979,0.574307,LAYING,1
0.1878141,0.7804447,0.5736756,LAYING,1
0.1908195,0.7841411,0.575734,LAYING,1
0.1903837,0.7868935,0.5739925,LAYING,1
0.1896451,0.7869316,0.5740247,LAYING,1
0.188727,0.78525,0.579371,LAYING,1
0.1868514,0.7872107,0.5826897,LAYING,1
0.1872478,0.7873775,0.5790847,LAYING,1
0.1882214,0.7860382,0.5745627,LAYING,1
0.1880524,0.7870578,0.5808334,LAYING,1
0.1891577,0.7861151,0.590582,LAYING,1
0.1892354,0.7855425,0.593163,LAYING,1
0.1885763,0.7866173,0.5868329,LAYING,1
0.1900609,0.7859551,0.5781818,LAYING,1
0.1905773,0.7859581,0.5799199,LAYING,1
0.1901537,0.7863846,0.5781526,LAYING,1
0.1903369,0.7858945,0.5673874,LAYING,1
0.1900321,0.7863619,0.567162,LAYING,1
0.1894458,0.7870688,0.5708084,LAYING,1
0.1893168,0.7872812,0.5734763,LAYING,1
0.1923022,0.7859481,0.5785268,LAYING,1
0.1956624,0.7840797,0.5773933,LAYING,1
0.1930678,0.7854964,0.5770004,LAYING,1
0.1883855,0.7869053,0.5788249,LAYING,1
0.1868422,0.7858145,0.5771652,LAYING,1
0.1872773,0.786343,0.5778012,LAYING,1
0.1878857,0.7881757,0.5776017,LAYING,1
0.1874233,0.7892148,0.5746561,LAYING,1
0.1872679,0.7891783,0.5730999,LAYING,1
0.1885175,0.7879896,0.5735527,LAYING,1
0.1909149,0.7863006,0.5759405,LAYING,1
0.1940868,0.7840927,0.5767927,LAYING,1
0.1936942,0.7842906,0.5763206,LAYING,1
0.1916366,0.786621,0.5760579,LAYING,1
0.1918116,0.7869444,0.5744869,LAYING,1
0.1899102,0.7874466,0.5732058,LAYING,1
0.18911,0.7870502,0.5729877,LAYING,1
0.1894931,0.7852663,0.5721589,LAYING,1
0.186471,0.7866677,0.5702578,LAYING,1
0.187108,0.7881907,0.5705376,LAYING,1
0.188853,0.788793,0.5724734,LAYING,1
0.1888392,0.7885798,0.5715681,LAYING,1
0.1928602,0.7866627,0.5695222,LAYING,1
0.1938951,0.7873443,0.5674861,LAYING,1
0.1912776,0.7869353,0.5671807,LAYING,1
0.1907504,0.7841881,0.5679113,LAYING,1
0.1899531,0.783786,0.565289,LAYING,1
0.1900133,0.783869,0.5662236,LAYING,1
0.1896921,0.7866679,0.5717979,LAYING,1
0.1883181,0.7900053,0.5757836,LAYING,1
0.1891167,0.7872554,0.5782666,LAYING,1
0.1057022,0.7942689,0.6014987,LAYING,3
0.09476016,0.8046239,0.5940026,LAYING,3
0.1065574,0.8042298,0.581004,LAYING,3
0.1177729,0.801051,0.5744196,LAYING,3
0.1148036,0.7968263,0.5738546,LAYING,3
0.1140739,0.7852295,0.5755691,LAYING,3
0.1202492,0.7848018,0.5830064,LAYING,3
0.1131563,0.7946508,0.5939708,LAYING,3
0.1083002,0.7957694,0.5984154,LAYING,3
0.1121891,0.7897267,0.5957986,LAYING,3
0.1089305,0.7838474,0.5966872,LAYING,3
0.1078838,0.7848691,0.6004531,LAYING,3
0.1093064,0.7850686,0.6003278,LAYING,3
0.1087267,0.7753195,0.601352,LAYING,3
0.10389,0.7713234,0.6034737,LAYING,3
0.0973212,0.775987,0.6031553,LAYING,3
0.1009434,0.7827601,0.604096,LAYING,3
0.1077285,0.7937944,0.6008157,LAYING,3
0.114282,0.7963721,0.5930381,LAYING,3
0.1185597,0.7879665,0.5928219,LAYING,3
0.1126872,0.7787412,0.6040011,LAYING,3
0.1099288,0.76865,0.614516,LAYING,3
0.1162413,0.762067,0.607013,LAYING,3
0.1158433,0.7612325,0.5984051,LAYING,3
0.09835105,0.7647161,0.60687,LAYING,3
0.08080257,0.7724458,0.6087795,LAYING,3
0.08637474,0.7802401,0.6031063,LAYING,3
0.095821,0.788576,0.6036155,LAYING,3
0.09369242,0.7928545,0.6024942,LAYING,3
0.1008713,0.7885948,0.6033955,LAYING,3
0.1078929,0.7868636,0.6069695,LAYING,3
0.1037138,0.785627,0.6124436,LAYING,3
0.1056041,0.7788839,0.6210059,LAYING,3
0.1076053,0.7743808,0.6167544,LAYING,3
0.1097716,0.7655035,0.6031228,LAYING,3
0.1163317,0.757038,0.596942,LAYING,3
0.1142328,0.7639653,0.6007663,LAYING,3
0.1119389,0.7732524,0.6066337,LAYING,3
0.1119318,0.7820487,0.601542,LAYING,3
0.1052089,0.7899224,0.5970497,LAYING,3
0.09778005,0.7848517,0.6012561,LAYING,3
0.09316937,0.7823991,0.6010834,LAYING,3
0.09510171,0.7851942,0.6034942,LAYING,3
0.09936781,0.7796646,0.607035,LAYING,3
0.09758586,0.7780133,0.60696,LAYING,3
0.09981608,0.7814498,0.6119207,LAYING,3
0.1050711,0.783118,0.6106248,LAYING,3
0.1020506,0.7854046,0.608059,LAYING,3
0.09909628,0.7831155,0.6140147,LAYING,3
0.0990673,0.7797781,0.6133466,LAYING,3
0.0993169,0.7779001,0.6080763,LAYING,3
0.1044368,0.7741423,0.6044383,LAYING,3
0.1065247,0.7759672,0.6052337,LAYING,3
0.1033318,0.7788338,0.6120499,LAYING,3
0.1024151,0.772964,0.614946,LAYING,3
0.1034784,0.7660246,0.6160255,LAYING,3
0.1041724,0.7644652,0.6165119,LAYING,3
0.09890208,0.7660584,0.6165014,LAYING,3
0.08905754,0.7672955,0.6203316,LAYING,3
0.08450662,0.7645431,0.6217109,LAYING,3
0.08951909,0.7590831,0.6235284,LAYING,3
0.09661948,0.7548189,0.6260243,LAYING,3
0.09757585,0.7545521,0.6247645,LAYING,3
0.1003356,0.7579856,0.6248038,LAYING,3
0.1032208,0.7632553,0.6235892,LAYING,3
